Site,Year,Month,Mean,Min,Max
MA,2021,3,4.08,2.83,5.79
MA,2021,4,7.62,5.83,9.34
MA,2021,5,12.55,9.6,15.3
MA,2021,6,17.87,12.87,21.49
MA,2021,7,21.57,20.11,22.99
MA,2021,8,22.84,21.64,24.25
MA,2021,9,21.92,20.35,23.68
MA,2021,10,18.61,15.86,20.37
MA,2021,11,13.35,10.5,15.76
MA,2021,12,9.1,7.49,10.62
MA,2022,1,5.59,3.49,8.08
MA,2022,2,3.36,2.78,3.87
MA,2022,3,4.63,3.04,5.7
MA,2022,4,7.84,5.71,9.46
MA,2022,5,11.75,9.58,15.55
MA,2022,6,17.64,15.46,19.93
MA,2022,7,21.45,20.04,22.65
MA,2022,8,22.53,21.59,23.35
MA,2022,9,20.71,18.4,22.83
MA,2022,10,16.5,15.89,18.67
MA,2022,11,14.1,10.95,16.42
MA,2022,12,8.42,5.77,10.88
MA,2023,1,5.66,5.26,6.49
MA,2023,2,4.73,3.93,5.2
MA,2023,3,5.03,4.41,6.05
MA,2023,4,8.69,6.27,10.63
MA,2023,5,13.02,10.91,15.2
MA,2023,6,17.11,14.76,19.67
MA,2023,7,21.86,20.23,23.31
MA,2023,8,21.29,20.82,21.81
MA,2023,9,20.42,17.28,22.9
MA,2023,10,16.81,15.92,17.85
MA,2023,11,12.64,10,15.46
MA,2023,12,8.64,7.63,9.76
MA,2024,1,5.41,3.76,7.52
MA,2024,2,3.65,3.18,4.15
MA,2024,3,5.53,4.08,6.57
MA,2024,4,7.7,5.83,9.42
MA,2024,5,11.97,9.45,15.69
MA,2024,6,17.96,16,20.03
MA,2024,7,21.18,18.8,22.22
MA,2024,8,21.36,20.58,21.91
MA,2024,9,19.74,17.43,20.92
MA,2024,10,16.89,15.2,18.61
MA,2024,11,13.37,10.63,15.42
MA,2024,12,8.04,5.91,10.25
ME,2021,1,5.49,4.64,6.58
ME,2021,2,4.66,3.9,5.38
ME,2021,3,5,4.41,5.98
ME,2021,4,6.48,5.42,7.27
ME,2021,5,10.36,7.49,13.54
ME,2021,6,14.04,10.28,15.47
ME,2021,7,16.45,13.73,17.84
ME,2021,8,18.81,16.85,20.88
ME,2021,9,17.32,16.63,18.16
ME,2021,10,14.8,12.59,16.06
ME,2021,11,11.14,10.24,12.57
ME,2021,12,9.14,8.01,10.28
ME,2022,1,7.08,5.58,8.67
ME,2022,2,4.78,4.05,5.62
ME,2022,3,4.4,3.59,5.12
ME,2022,4,5.79,4.51,6.85
ME,2022,5,9.53,6.69,12.03
ME,2022,6,14.1,11.5,15.94
ME,2022,7,16.86,15.73,18.02
ME,2022,8,18.86,17.8,20.84
ME,2022,9,16.49,14.22,18.46
ME,2022,10,13.3,12.77,14.5
ME,2022,11,11.34,9.42,13.07
ME,2022,12,7.89,6.16,9.46
ME,2023,1,5.79,4.78,6.91
ME,2023,2,5.21,4.45,5.74
ME,2023,3,4.36,4.06,4.91
ME,2023,4,6.79,4.89,8.12
ME,2023,5,10.04,7.71,12.8
ME,2023,6,14.09,11.85,17.06
ME,2023,7,18.41,16.08,20.02
ME,2023,8,18.03,16.67,19.76
ME,2023,9,17.17,14.79,19.92
ME,2023,10,14.07,12.5,15.31
ME,2023,11,10.32,8.82,12.13
ME,2023,12,7.42,5.97,8.8
ME,2024,1,4.81,4.13,5.74
ME,2024,2,3.54,2.94,4.14
ME,2024,3,4.86,4.02,5.49
ME,2024,4,6.5,4.77,8.37
ME,2024,5,10.57,8.36,12.75
ME,2024,6,14.32,12.99,16.47
ME,2024,7,17.04,13.38,18.19
ME,2024,8,18.32,17.33,19.51
ME,2024,9,16.3,15.04,17.64
ME,2024,10,13.21,11.35,15.26
ME,2024,11,10.25,8.86,11.69
ME,2024,12,7.27,5.76,8.68
